Noun,Verb,Met Par,Sentence,Metonymy,Metaphor,Hybrid,Category
athlete,advance,stadium,no bermudian athlete advanced to a final round during the 2008 games.,no bermudian stadium advanced to a final round during the 2008 games.,No Bermudian athlete stormed through to the final round during the 2008 games.,no bermudian stadium stormed through to the final round during the 2008 games.,CN
professor,come,university,the professor who holds this post comes to be known as sir gooroodas banerjee professor.,the university who holds this post comes to be known as sir gooroodas banerjee professor.,Sir Gooroodas Banerjee Professor will emerge as a name synonymous with this post.,the university will emerge as a name synonymous with this post.,CN
economist,write,office,the economist wrote that his support for hemp farming could appeal to farmers in iowa.,the office wrote that his support for hemp farming could appeal to farmers in iowa.,The economist sowed the seeds of revolution in Iowa by supporting hemp farming.,the office sowed the seeds of revolution in Iowa by supporting hemp farming.,CN
performer,appear,comedy club,the performer should not have appeared in so you think you're funny?,the comedy club should not have appeared in so you think you're funny?,"The performer should not have stumbled into a routine that included ""so you think you're funny?""","the comedy club should not have stumbled into a routine that included ""so you think you're funny?""",CN
trainer,deny,training room,"trainer denies this, but does not clarify what she did intend by the comment.","training room denies this, but does not clarify what she did intend by the comment.","The trainer vehemently erupted, but did not clarify what she intended by the comment.","training room vehemently erupted, but did not clarify what she intended by the comment.",CN
king,lose,sceptre,"i's death, the king lost most of his power to an aristocratic council of elders.","i's death, the sceptre lost most of his power to an aristocratic council of elders.","Upon his brother's death, the king surrendered to darkness, relinquishing most of his power to an aristocratic council of elders.","i's death, the sceptre surrendered to darkness, relinquishing most of his power to an aristocratic council of elders.",CN
vocalist,hear,concert hall,"the female vocalist heard half-screaming, half-singing ""baby!""","the concert hall heard half-screaming, half-singing ""baby!""","The female vocalist trembled with the sound of ""baby!""","the concert hall trembled with the sound of ""baby!""",CN
queen,tell,palace,so the queen told her about her brothers.,so the palace told her about her brothers.,The queen blurted out the truth about her brothers to her.,so the palace blurted out the truth about her brothers to her.,CN
prince,lead,a fortress or a castle,in 885 the prince led a campaign to the turkmen.,in 885 the a fortress or a castle led a campaign to the turkmen.,"In 885, the prince stormed into the Turkmen.",in 885 the a fortress or a castle stormed into the Turkmen.,CN
photographer,take,camera,"during the course of filming, the still photographer takes shots of on-stage scenes.","during the course of filming, the still camera takes shots of on-stage scenes.",The still photographer captured the essence of the on-stage scenes during the course of filming.,"during the course of filming, the still camera captured the essence of the on-stage scenes during the course of filming.",CN
lawyer,discover,law books,"however, a lawyer discovered that the injunction was only enforceable in the commonwealth of pennsylvania.","however, a law books discovered that the injunction was only enforceable in the commonwealth of pennsylvania.","The lawyer unearthed a buried treasure of loopholes, revealing that the injunction was only enforceable in the commonwealth of Pennsylvania.","however, a law books unearthed a buried treasure of loopholes, revealing that the injunction was only enforceable in the commonwealth of Pennsylvania.",CN
prince,ride,castle,"the prince rides the horses up the stairs, beat the drums, and goes in hiding.","the castle rides the horses up the stairs, beat the drums, and goes in hiding.","The prince thundered on horseback up the stairs, beating the drums in a ceremonial procession, and then vanished into hiding.","the castle thundered on horseback up the stairs, beating the drums in a ceremonial procession, and then vanished into hiding.",CN
researcher,apply,computer,"prior to constructing categories, a researcher might apply a first and second cycle coding methods.","prior to constructing categories, a computer might apply a first and second cycle coding methods.","Prior to constructing categories, a researcher might unleash the first and second cycle coding methods.","prior to constructing categories, a computer might unleash the first and second cycle coding methods.",CN
detective,run,magnifying glass,a police detective and gourmet runs his own restaurant in between solving crimes.,a police magnifying glass and gourmet runs his own restaurant in between solving crimes.,The police detective and gourmet was racing between solving crimes and running his own restaurant.,a police magnifying glass and gourmet was racing between solving crimes and running his own restaurant.,CN
princess,arrive,castle,"just then, the princess arrives at the scene and sees ganga impersonating her.","just then, the castle arrives at the scene and sees ganga impersonating her.","The princess burst forth at the scene, her presence a stark contrast to the deception unfolding before her eyes.","just then, the castle burst forth at the scene, her presence a stark contrast to the deception unfolding before her eyes.",CN
president,assign,White House,the president assigned responsibility for the surveys to the army corps of engineers.,the White House assigned responsibility for the surveys to the army corps of engineers.,The president entrusted the burden of the surveys to the army corps of engineers.,the White House entrusted the burden of the surveys to the army corps of engineers.,NE
commentator,note,broadcasting studio,the commentator also noted the lower groups becoming apathetic.,the broadcasting studio also noted the lower groups becoming apathetic.,The commentator scribbled the lower groups' apathy with disdain.,the broadcasting studio scribbled the lower groups' apathy with disdain.,CN
mechanic,accelerate,game development studio,"this game mechanic accelerates bankruptcy of opposing players, keeping total playing time within reasonable limits.","this game development studio accelerates bankruptcy of opposing players, keeping total playing time within reasonable limits.","This game mechanic suffocates the opposing players, keeping total playing time within reasonable limits.","this game development studio suffocates the opposing players, keeping total playing time within reasonable limits.",CN
teacher,discover,school,"the teacher had discovered that wynschenk was a holocaust survivor from his son, mike.","the school had discovered that wynschenk was a holocaust survivor from his son, mike.","The teacher unearthed the darkest secrets of Wynschenk's past, a painful truth that had been hidden in his son, Mike.","the school unearthed the darkest secrets of Wynschenk's past, a painful truth that had been hidden in his son, Mike.",CN
dictator,send,hotel,the dictator sends charlotte out and tells the hotel detective to call the police.,the hotel sends charlotte out and tells the hotel detective to call the police.,"The dictator banished Charlotte into the night, leaving the hotel detective to summon the police.","the hotel banished Charlotte into the night, leaving the hotel detective to summon the police.",CN
sculptor,see,studio,"""from gulfport, with junk: sculptor sees art everywhere.""","""from gulfport, with junk: studio sees art everywhere.""","""From Gulfport, with junk: sculptor beholds art everywhere.""","""from gulfport, with junk: studio beholds art everywhere.""",CN
president,cite,stadium,the club's president cited financial constraints preventing the club from keeping tosi.,the club's stadium cited financial constraints preventing the club from keeping tosi.,"The club's president was drowned in a sea of expenses, unable to keep the team.","the club's stadium was drowned in a sea of expenses, unable to keep the team.",CN
physician,administer,syringe,some physician's also may administer the antiviral agents via intravitreal delivery.,some syringe's also may administer the antiviral agents via intravitreal delivery.,The physician injected the antiviral agents directly into the heart of the eye.,some syringe injected the antiviral agents directly into the heart of the eye.,CN
chef,withdraw,kitchen,(wdr) the chef voluntarily withdrew from the competition.,(wdr) the kitchen voluntarily withdrew from the competition.,The chef stormed out of the competition.,(wdr) the kitchen stormed out of the competition.,CN
physician,travel,stethoscope,a physician and nurse also travel with presidential motorcades.,a stethoscope and nurse also travel with presidential motorcades.,A physician and a nurse also soar alongside presidential motorcades.,a stethoscope and a nurse also soar alongside presidential motorcades.,CN
scientist,make,laboratory,"besides these natural occurring forms, scientist have made synthetic forms with different toxic strengths.","besides these natural occurring forms, laboratory have made synthetic forms with different toxic strengths.","Besides these naturally occurring forms, scientists have brewed synthetic forms with varying toxic strengths.","besides these natural occurring forms, laboratory s have brewed synthetic forms with varying toxic strengths.",CN
analyst,release,office,"2009 – decision analyst released stats 2.0 statistical software, free software for marketing researchers.","2009 – decision office released stats 2.0 statistical software, free software for marketing researchers.","The decision analyst unleashed stats 2.0, a powerful statistical software, upon the marketing research community.","2009 – decision office unleashed stats 2.0, a powerful statistical software, upon the marketing research community.",CN
psychologist,suggest,clipboard,"in a study of poe, a psychologist suggested that poe had dipsomania.","in a study of poe, a clipboard suggested that poe had dipsomania.",The psychologist proclaimed that Poe was a slave to his dipsomania.,"in a study of poe, a clipboard proclaimed that Poe was a slave to his dipsomania.",CN
professor,tell,classroom,the professor tells flynn to run.,the classroom tells flynn to run.,The professor bellowed to Flynn to run.,the classroom bellowed to Flynn to run.,CN
instructor,advise,acting school,"after reading the script, widen's instructor advised him to send it to an agent.","after reading the script, widen's acting school advised him to send it to an agent.","After reading the script, Widen's instructor implored him to send it to an agent.","after reading the script, widen's acting school implored him to send it to an agent.",CN
journalist,want,newsroom,"the journalist wanted to know how they had managed it, if it was so hard.","the newsroom wanted to know how they had managed it, if it was so hard.","The journalist yearned to uncover the secrets behind their accomplishment, despite the challenges they had faced.","the newsroom yearned to uncover the secrets behind their accomplishment, despite the challenges they had faced.",CN
psychologist,say,office,"the psychologist says that houses do not kill people, but in this case it did.","the office says that houses do not kill people, but in this case it did.","The psychologist whispered a deadly truth: houses do not kill people, but in this case, it did.","the office whispered a deadly truth: houses do not kill people, but in this case, it did.",CN
president,grant,oval office,the president granted jamil's national trading company a monopoly to import more than eighty-seven commodities.,the oval office granted jamil's national trading company a monopoly to import more than eighty-seven commodities.,"The president bestowed a kingdom upon Jamil's national trading company, allowing it to import more than eighty-seven commodities.","the oval office bestowed a kingdom upon Jamil's national trading company, allowing it to import more than eighty-seven commodities.",CN
lawyer,walk,office,the lawyer then casually walks by and fires them.,the office then casually walks by and fires them.,The lawyer trudges the employee through the mud of unemployment.,the office trudges the employee through the mud of unemployment.,CN
singer,describe,recording studio,"the singer described the album as ""soulful"" and ""passionate.","the recording studio described the album as ""soulful"" and ""passionate.","The singer's emotions bled onto the album, making it soulful and passionate.","the recording studio 's emotions bled onto the album, making it soulful and passionate.",CN
architect,develop,design studio,"predominantly, the architect developed spacenets for playgrounds.","predominantly, the design studio developed spacenets for playgrounds.",The architect unleashed a flurry of innovative spacenets for playgrounds.,"predominantly, the design studio unleashed a flurry of innovative spacenets for playgrounds.",CN
researcher,demonstrate,lab,the researcher demonstrated the attack on various devices of different categories and from different manufacturers.,the lab demonstrated the attack on various devices of different categories and from different manufacturers.,The researcher unleashed the attack on various devices of different categories and from different manufacturers.,the lab unleashed the attack on various devices of different categories and from different manufacturers.,CN
prince,return,sword,"the prince, though armed, had not returned the attack but only cried.","the sword, though armed, had not returned the attack but only cried.","The prince, though armed, had not crawled back in silence, but only cried.","the sword , though armed, had not crawled back  in silence, but only cried.",CN
tutor,use,classroom,"the firstvoices language tutor uses language exercises in vocabulary development, reading comprehension, listening and speaking.","the firstvoices language classroom uses language exercises in vocabulary development, reading comprehension, listening and speaking.","The firstvoices language tutor unleashes language exercises in vocabulary development, reading comprehension, listening, and speaking.","the firstvoices language classroom unleashes language exercises in vocabulary development, reading comprehension, listening, and speaking.",CN
dancer,poke,dance studio,"los angeles times, dancer poked fun at classics she performed, november 30, 1981, page c8.","los angeles times, dance studio poked fun at classics she performed, november 30, 1981, page c8.",The dancer gently caressed the classics she performed in her routine.,"los angeles times, dance studio gently caressed the classics she performed in her routine.",CN
minister,officiate,church,a presbyterian minister officiated at crapsey's private funeral.,a presbyterian church officiated at crapsey's private funeral.,The presbyterian minister thundered from the pulpit at Crapsey's private funeral.,a presbyterian church thundered from the pulpit at Crapsey's private funeral.,CN
physician,tell,stethoscope,"the physician tells him that despite being infected with the plague, she will survive.","the stethoscope tells him that despite being infected with the plague, she will survive.","The physician digged that despite being infected with the plague, she would survive.","the stethoscope digged that despite being infected with the plague, she would survive.",CN
photographer,keep,studio,the other photographer kept the frog from moving by placing both his hands on top.,the other studio kept the frog from moving by placing both his hands on top.,The other photographer pinned the frog down with both hands.,the other studio pinned the frog down with both hands.,CN
reporter,dislike,office,the hollywood reporter disliked the film and cited the film's low budget as a reason.,the hollywood office disliked the film and cited the film's low budget as a reason.,"The Hollywood reporter scorned the film, citing its low budget as a reason.","the hollywood office scorned the film, citing its low budget as a reason.",CN
minister,refuse,church,the minister refuses to go on with the wedding.,the church refuses to go on with the wedding.,The minister turned away from the wedding.,the church turned away from the wedding.,CN
psychologist,evaluate,office,"the psychologist evaluated 104 children, of whom 18 were judged to be delayed ).","the office evaluated 104 children, of whom 18 were judged to be delayed ).","The psychologist dissected the developmental progress of 104 children, laying bare the struggles of 18 who were lagging behind.","the office dissected the developmental progress of 104 children, laying bare the struggles of 18 who were lagging behind.",CN
doctor,have,stethoscope,"meanwhile, the doctor has a half-real, half-imagined conversation with his former self.","meanwhile, the stethoscope has a half-real, half-imagined conversation with his former self.","Meanwhile, the doctor wrestled with his former self in a conversation that was half-real, half-imagined.","meanwhile, the stethoscope wrestled with his former self in a conversation that was half-real, half-imagined.",CN
patient,designate,hospital,each patient may designate only one caregiver under the voluntary program.,each hospital may designate only one caregiver under the voluntary program.,Each patient may anoint only one caregiver under the voluntary program.,each hospital may anoint only one caregiver under the voluntary program.,CN
instructor,refuse,classroom,the instructor refused to press charges.,the classroom refused to press charges.,The instructor sealed the student's fate by refusing to press charges.,the classroom sealed the student's fate by refusing to press charges.,CN
reporter,note,newsroom,"the comic reporter notes est em's ""richly drawn characters and angular, unconventionally attractive art.""","the comic newsroom notes est em's ""richly drawn characters and angular, unconventionally attractive art.""","The comic reporter's words painted the vibrant watercolor of Est Em's ""richly drawn characters and angular, unconventionally attractive art.""","the comic newsroom 's words painted the vibrant watercolor of Est Em's ""richly drawn characters and angular, unconventionally attractive art.""",CN
student,make,classroom,the student made a full recovery.,the classroom made a full recovery.,The student's health began to blossom.,the classroom 's health began to blossom.,CN
pianist,join,concert hall,"in 1932, the pianist joined nina mae mckinney on a european tour.","in 1932, the concert hall joined nina mae mckinney on a european tour.","In 1932, the pianist merged with Nina Mae McKinney on a European tour.","in 1932, the concert hall merged with Nina Mae McKinney on a European tour.",CN
baker,admit,kitchen,"baker admits that people tell him he is ""too quiet on set"".","kitchen admits that people tell him he is ""too quiet on set"".","The baker blurted that people tell him he is ""too quiet on set"".","kitchen blurted that people tell him he is ""too quiet on set"".",CN
composer,make,concert hall,the composer made all the instruments parts equally important.,the concert hall made all the instruments parts equally important.,"The composer harmonized the disparate voices of the instruments, making each one equally important.","the concert hall harmonized the disparate voices of the instruments, making each one equally important.",CN
driver,win,car,"prior to 1985, no driver had ever won all four races in the same season.","prior to 1985, no racing car had ever won all four races in the same season.","Prior to 1985, no driver had ever conquered all four races in the same season.","prior to 1985, no racing car had ever conquered all four races in the same season.",CN
bartender,note,bar,"as they order their beer, the bartender notes “and then you're right back down again!”","as they order their beer, the bar notes “and then you're right back down again!”","As they ordered their beer, the bartender scribbled the familiar refrain: ""and then you're right back down again!""","as they order their beer, the bar scribbled the familiar refrain: ""and then you're right back down again!""",CN
director,oversee,correctional facility,"the chief deputy director oversees re-entry & programs, communication, and victim services.","the chief deputy correctional facility oversees re-entry & programs, communication, and victim services.","The chief deputy director reigns supreme over re-entry and programs, communication, and victim services.","the chief deputy correctional facility reigns supreme over re-entry and programs, communication, and victim services.",CN
analyst,offer,office,1996 – decision analyst first offered its stats statistical software free to marketing researchers.,1996 – decision office first offered its stats statistical software free to marketing researchers.,"In 1996, the decision analyst dangled its stats statistical software as a free gift to marketing researchers.",1996 – decision office dangled its stats statistical software as a free gift to marketing researchers.,CN
writer,bemoan,office,"a western mail writer bemoaned the ""scouse post-graduate"" zak's intelligence.","a western mail office bemoaned the ""scouse post-graduate"" zak's intelligence.","The western mail writer bewailed Zak's intelligence, dubbing him a ""scouse post-graduate"".","a western mail office bewailed Zak's intelligence, dubbing him a ""scouse post-graduate"".",CN
president,issue,White House,"on september 13, 1990, the president issued presidential decree no.","on september 13, 1990, the White House issued presidential decree no.","On September 13, 1990, the president unleashed a royal edict.","on september 13, 1990, the White House unleashed a royal edict.",NE
prince,have,sceptre,during the fragmentation of poland each prince or duke would have his own voivode.,during the fragmentation of poland each sceptre or duke would have his own voivode.,"During the fragmentation of Poland, each prince or duke wielded their own voivode.",during the fragmentation of poland each sceptre or duke wielded their own voivode.,CN
mayor,open,city hall,the mayor of lancaster officially opened it.,the city hall of lancaster officially opened it.,The mayor of Lancaster stood back as the event burst forth into life.,the city hall of Lancaster stood back as the event burst forth into life.,CN
student,complete,classroom,"in addition, each student must complete a required sequence of career and technical courses.","in addition, each classroom must complete a required sequence of career and technical courses.","In addition, each student must conquer a required sequence of career and technical courses.","in addition, each classroom must conquer a required sequence of career and technical courses.",CN
queen,drink,palace,the queen drank a gin martini (without lemon).,the palace drank a gin martini (without lemon).,The queen devoured the sweet nectar of the gin martini.,the palace devoured the sweet nectar of the gin martini.,CN
surgeon,suture,surgical scalpel,then the surgeon will suture the whitnall's ligament connecting it to the superior tarsal edge.,then the surgical scalpel will suture the whitnall's ligament connecting it to the superior tarsal edge.,The surgeon would then thread the needle with precision to weave the Whitnall's ligament to the superior tarsal edge.,then the surgical scalpel would then thread the needle with precision to weave the Whitnall's ligament to the superior tarsal edge.,CN
nurse,wear,stethoscope,"the nurse whose uniform arbuckle is wearing soon arrives, blowing his cover.","the stethoscope whose uniform arbuckle is wearing soon arrives, blowing his cover.","The nurse whose uniform the detective was wearing soon arrived, donning a disguise that blew his cover.","the stethoscope whose uniform the detective was wearing soon arrived, donning a disguise that blew his cover.",CN
producer,solve,recording studio,the producer solved this by muffling the buzzing with the ocean overdub.,the recording studio solved this by muffling the buzzing with the ocean overdub.,The producer drowned the noise in a tidal wave by muffling the buzzing with the ocean overdub.,the recording studio drowned the noise in a tidal wave by muffling the buzzing with the ocean overdub.,CN
minister,go,government office,a vice minister of culture went to sichuan and said: sichuan opera is backward.,a vice government office of culture went to sichuan and said: sichuan opera is backward.,"The vice minister of culture trudged through the mud of Sichuan, his words about the opera being backward.","a vice government office of culture trudged through the mud of Sichuan, his words about the opera being backward.",CN
waiter,tell,restaurant,the waiter tells them they must order food before 10pm because of the catering act.,the restaurant tells them they must order food before 10pm because of the catering act.,The waiter dictated that the group must order food before 10pm due to the catering act.,the restaurant dictated that the group must order food before 10pm due to the catering act.,CN
filmmaker,speak,film studio,"through this the filmmaker can speak directly to the viewer, offering information, explanations and opinions.","through this the film studio can speak directly to the viewer, offering information, explanations and opinions.","Through this, the filmmaker can thunder directly to the viewer, offering information, explanations, and opinions.","through this the film studio can thunder directly to the viewer, offering information, explanations, and opinions.",CN
police,find,police station,the police find them tied up.,the police station find them tied up.,"The police unearthed them, tied up.","the police station unearthed them, tied up.",CN
sculptor,begin,chisel,although the public was dissatisfied with horvay’s idea the sculptor began working.,although the public was dissatisfied with horvay’s idea the chisel began working.,"The sculptor succumbed to despair, yet began working on Horvay's idea.","although the public was dissatisfied with horvay’s idea the chisel succumbed to despair, yet began working on Horvay's idea.",CN
princess,decide,castle,princess decided to go with her own small army toward that threatening army.,castle decided to go with her own small army toward that threatening army.,The princess launched herself toward that threatening army with her small band of loyal warriors.,The castle launched itself toward that threatening army with her small band of loyal warriors.,CN
economist,give,calculator,an economist gave evidence that spending in central manchester would double by 1981.,an calculator gave evidence that spending in central manchester would double by 1981.,"The economist revealed that spending in central Manchester would unleash a tidal wave, doubling by 1981.","an calculator revealed that spending in central Manchester would unleash a tidal wave, doubling by 1981.",CN
detective,die,police station,a detective died during the raid.,a police station died during the raid.,The detective withered like a dying flower during the raid.,a police station withered like a dying flower during the raid.,CN
filmmaker,appeal,film studio,the filmmaker has appealed to the film certification appellate tribunal (fcat).,the film studio has appealed to the film certification appellate tribunal (fcat).,"The filmmaker made a plea to the heavens, hoping for a change in the FCAT's decision.","the film studio made a plea to the heavens, hoping for a change in the FCAT's decision.",CN
tutor,say,school,"but, her tutor, presented as a witness, said that she was expelled for bad conduct.","but, her school, presented as a witness, said that she was expelled for bad conduct.","But her tutor, presented as a witness, mumbled that she was expelled for bad conduct.","but, her school , presented as a witness, mumbled that she was expelled for bad conduct.",CN
producer,click,film set,"both producer and director ""clicked"" and lowney joined the production team.","both film set and director ""clicked"" and lowney joined the production team.","Both the producer and director snapped into place, and Lowney joined the production team.","both film set and director snapped into place, and Lowney joined the production team.",CN
president,appear,Oval Office,the president appeared to be unaware of the crucial elements of the operation.,the Oval Office appeared to be unaware of the crucial elements of the operation.,"The president hid behind a facade of ignorance, unaware of the crucial elements of the operation.","the Oval Office hid behind a facade of ignorance, unaware of the crucial elements of the operation.",NE
surgeon,feel,scalpel,"ten minutes later, the surgeon felt a pulse.","ten minutes later, the scalpel felt a pulse.","Ten minutes later, the surgeon sensed the thunder of life.","ten minutes later, the scalpel sensed the thunder of life.",CN
programmer,have,computer,a programmer also has to avoid consecutive letters that are applesoft commands or operations.,a computer also has to avoid consecutive letters that are applesoft commands or operations.,A programmer must evade consecutive letters that are AppleSoft commands or operations.,a computer must evade consecutive letters that are AppleSoft commands or operations.,CN
tutor,tell,cane,his tutor told him not to weary himself but to let him dig.,his cane told him not to weary himself but to let him dig.,His tutor warned him not to weary himself but to let him dig.,his cane warned him not to weary himself but to let him dig.,CN
narrator,state,concert hall,"the narrator states that ""life isn't always beautiful / but it's a beautiful ride.","the concert hall states that ""life isn't always beautiful / but it's a beautiful ride.","The narrator sang an enchanting melody that life isn't always beautiful, but it's a beautiful ride.","the concert hall sang an enchanting melody that life isn't always beautiful, but it's a beautiful ride.",CN
economist,describe,pages,"in reviewing his memoirs, the economist described johnson as a ""romantic contrarian liberal"".","in reviewing his memoirs, the pages described johnson as a ""romantic contrarian liberal"".","In reviewing his memoirs, the economist portrayed Johnson as a masterful nonconformist.","in reviewing his memoirs, the pages portrayed Johnson as a masterful nonconformist.",CN
surgeon,begin,scalpel,the surgeon will begin with an incision on the eyelid.,the scalpel will begin with an incision on the eyelid.,The surgeon will launch the delicate operation with an incision on the eyelid.,the scalpel will launch the delicate operation with an incision on the eyelid.,CN
developer,give,office,the original developer of automatix has given some positive and negative comments.,the original office of automatix has given some positive and negative comments.,The original developer of Automatix has been poisoning the conversation with both positive and negative comments.,the original office of Automatix has been poisoning the conversation with both positive and negative comments.,CN
king,get,sceptre,the king got his divorce and set about punishing his opponents.,the sceptre got his divorce and set about punishing his opponents.,The king unleashed his wrath upon his opponents after the divorce.,the sceptre unleashed his wrath upon his opponents after the divorce.,CN
professor,ask,chalkboard,a professor asked his class to create superheroes originating from their culture.,a chalkboard asked this class to create superheroes originating from their culture.,The professor dictated his class to create superheroes originating from their culture.,a chalkboard dictated the class to create superheroes originating from their culture.,CN
director,have,film set,neither director had much background with action scenes but both were experienced with directing drama.,neither film set had much background with action scenes but both were experienced with directing drama.,"Neither director was bursting with experience in action scenes, but both were seasoned in directing drama.","neither film set was bursting with experience in action scenes, but both were seasoned in directing drama.",CN
mayor,criticize,city hall,the mayor and voters criticized the boe for the failure.,the city hall and voters criticized the boe for the failure.,The mayor and voters stripped the board of education bare for its failure.,the city hall and voters stripped the board of education bare for its failure.,CN
doctor,do,stethoscope,"the doctor can do nothing to stop the groom, who, with a simple ""giddy up!""","the stethoscope can do nothing to stop the groom, who, with a simple ""giddy up!""","The doctor could do nothing to stop the groom, who, with a simple ""giddy up!"", unleashed a plague of uncontrollable laughter.","the stethoscope could do nothing to stop the groom, who, with a simple ""giddy up!"", unleashed a plague of uncontrollable laughter.",CN
analyst,create,data center,"alternatively, using the notations of structured techniques, an analyst could create a ""nassi–shneiderman diagram"".","alternatively, using the notations of structured techniques, an data center could create a ""nassi–shneiderman diagram"".","Alternatively, using the notations of structured techniques, an analyst could give birth to a Nassi-Shneiderman diagram.","alternatively, using the notations of structured techniques, an data center could give birth to a Nassi-Shneiderman diagram.",CN
doctor,rule,stethoscope,after an accidental head clash in round 4 the doctor ruled beyer unable to continue.,after an accidental head clash in round 4 the stethoscope ruled beyer unable to continue.,The doctor sketched the verdict: Beyer was unable to continue after the accidental head clash in round 4.,after an accidental head clash in round 4 the stethoscope sketched the verdict: Beyer was unable to continue after the accidental head clash in round 4.,CN
professor,sink,chalkboard,"occasionally, the professor sinks into memories of his former wife and mother.","occasionally, the chalkboard sinks into memories of his former wife and mother.","Occasionally, the professor would drown in memories of his former wife and mother.","occasionally, the chalkboard would drown in memories of his former wife and mother.",CN
painter,continue,art studio,painter continues to be involved on the fringe of the far right.,art studio continues to be involved on the fringe of the far right.,The painter persists on the fringe of the far right.,art studio persists on the fringe of the far right.,CN
composer,seem,recording studio,"according to the album's credits, the composer of the song seems to be mirto nikolopoulou.","according to the album's credits, the recording studio of the song seems to be mirto nikolopoulou.","The composer of the song appears in flames as the credited author in the album's credits, actually it is Mirtó Nikolopoulou.","according to the album's credits, the recording studio of the song appears in flames as the credited author in the album's credits, actually it is Mirtó Nikolopoulou.",CN
waiter,offer,uniform,a waiter offers her a glass of water.,a uniform offers her a glass of water.,The waiter thrust a glass of water at her.,a uniform thrust a glass of water at her.,CN
psychologist,determine,notepad,a psychologist must also determine the patient's maturity to make the decision.,a notepad must also determine the patient's maturity to make the decision.,The psychologist must also dissect the patient's maturity to make the decision.,a notepad must also dissect the patient's maturity to make the decision.,CN
analyst,uncover,spreadsheet,"while describing a use case, an analyst may also uncover ""business rules"".","while describing a use case, an spreadsheet may also uncover ""business rules"".","While describing a use case, an analyst may also unshackle business rules.","while describing a use case, an spreadsheet may also unshackle business rules.",CN
researcher,describe,university,a modern researcher describes the sabha's philosophy as modern middle-class (bourgeois) vedanta.,a modern university describes the sabha's philosophy as modern middle-class (bourgeois) vedanta.,"The modern researcher dissected the sabha's philosophy, revealing its modern middle-class (bourgeois) vedanta.","a modern university dissected the sabha's philosophy, revealing its modern middle-class (bourgeois) vedanta.",CN
researcher,propose,laboratory,any qualified researcher can propose to use an als beamline.,any qualified laboratory can propose to use an als beamline.,Any qualified researcher can launch a crusade to utilize an ALS beamline.,any qualified laboratory can launch a crusade to utilize an ALS beamline.,CN
analyst,ask,office,the analyst must ask questions such as: who was this document written by?,the office must ask questions such as: who was this document written by?,The analyst must grill the document to uncover its secrets.,the office must grill the document to uncover its secrets.,CN
poet,proceed,auditorium,the poet proceeds to praise them and wishing them all the blessings for their marriages.,the auditorium proceeds to praise them and wishing them all the blessings for their marriages.,"The poet galloped into a heartfelt praise, blessing the couple with all the joy and happiness their marriages could hold.","the auditorium galloped into a heartfelt praise, blessing the couple with all the joy and happiness their marriages could hold.",CN
dancer,finish,stadium,"dancer finished the season with a combined average of .237, 51 runs and 26 rbi.","stadium finished the season with a combined average of .237, 51 runs and 26 rbi.","The dancer dominated the season with a combined average of.237, 51 runs, and 26 RBIs.","stadium dominated the season with a combined average of.237, 51 runs, and 26 RBIs.",CN
filmmaker,find,office,the filmmaker found himself suffering from writer's block.,the office found himself suffering from writer's block.,"The filmmaker hit a creative dead end, struggling to find his way forward.","the office hit a creative dead end, struggling to find his way forward.",CN
manager,apologize,restaurant,the manager apologized and gave them coupons for free food.,the restaurant apologized and gave them coupons for free food.,The manager atoned for the mistake by offering them coupons for free food.,the restaurant atoned for the mistake by offering them coupons for free food.,CN
soldier,fall,battlefield,"a soldier fell, hit by the first burst of fire.","a battlefield fell, hit by the first burst of fire.",The soldier crumbled under the first burst of fire.,a battlefield crumbled under the first burst of fire.,CN
doctor,make,stethoscope,"the doctor makes the rounds of the french quarter, administering aid where needed.","the stethoscope makes the rounds of the french quarter, administering aid where needed.","The doctor swept through the French Quarter, administering aid where needed.","the stethoscope swept through the French Quarter, administering aid where needed.",CN
reporter,note,newsroom,"the hollywood reporter noted that ""hall... is brilliant at conveying the subtle complexity of dexter"".","the hollywood newsroom noted that ""hall... is brilliant at conveying the subtle complexity of dexter"".",The Hollywood reporter skillfully painted the vibrant portrait of Michael C. Hall's brilliance at conveying the subtle complexity of Dexter.,the hollywood newsroom skillfully painted the vibrant portrait of Michael C. Hall's brilliance at conveying the subtle complexity of Dexter.,CN
president,issue,White House,"around the same time, the president issued an appeal for public donations for storm victims.","around the same time, the White House issued an appeal for public donations for storm victims.","Around the same time, the president unleashed an appeal for public donations for storm victims.","around the same time, the White House unleashed an appeal for public donations for storm victims.",NE
developer,stay,office,the developer stayed engaged with the community during the hiatus.,the office stayed engaged with the community during the hiatus.,The developer clung to the community during the hiatus.,the office clung to the community during the hiatus.,CN
mechanic,find,airbase,"the other mechanic found everyone asleep at the squadron, and became suspicious of a problem.","the other airbase found everyone asleep at the squadron, and became suspicious of a problem.","The other mechanic unearthed a problem at the squadron, where everyone was asleep.","the other airbase unearthed a problem at the squadron, where everyone was asleep.",CN
minister,call,government building,"the country's minister of religious affairs has called the evangelical churches ""dangerous.""","the country's government building of religious affairs has called the evangelical churches ""dangerous.""",The country's minister of religious affairs has condemned the evangelical churches to darkness.,the country's government building of religious affairs has condemned the evangelical churches to darkness.,CN
